Epoch,Training Loss,Validation mIoU,Validation Accuracy
1,0.7606580386991086,0.36180577533585684,0.6776476843016488
2,0.6206939427748971,0.5249153631074088,0.9188681670597622
3,0.5044535022714863,0.5841473937034607,0.9720409767968314
4,0.40953922790029773,0.5574370537485395,0.9786458696637835
5,0.33016103765238886,0.5405648265566144,0.9790587169783456
6,0.2745465765828672,0.5855872205325535,0.979127654007503
7,0.23596102647159412,0.590012116091592,0.9796964270727975
8,0.20750618175320004,0.5845903073038373,0.980551711150578
9,0.18244713156119638,0.6184054868561881,0.9800140517098563
10,0.16596023738384247,0.6088808860097613,0.9813638159206935
11,0.15007720563722693,0.6105369329452515,0.9818634646279472
12,0.13728872265504755,0.6413386634417942,0.9818348629134042
13,0.12582646861024524,0.6357408165931702,0.9827639375414167
14,0.11710082318471826,0.6621681026050023,0.9826939446585519
15,0.11091904504143674,0.6655625190053668,0.9834389516285488
16,0.10227717167657355,0.6547898054122925,0.9835977894919259
17,0.09500271826982498,0.6849786043167114,0.984174736908504
18,0.09015501096196797,0.699021714074271,0.9835631166185651
19,0.08479302894809972,0.7088639140129089,0.9838261774608067
20,0.08008206408956776,0.6983722107751029,0.9847616893904549
21,0.0779271051287651,0.7055199061121259,0.9852092010634286
22,0.0736533782404402,0.712574873651777,0.9850083248955863
23,0.06947878197483394,0.7229404534612384,0.986776317868914
24,0.06662074670843456,0.7252641916275024,0.9867707661220005
25,0.0630576869715815,0.7292328136307853,0.9872094563075474
26,0.060118924502445305,0.7366406151226589,0.9873553173882621
27,0.05827406324122263,0.7383050918579102,0.9868144222668239
28,0.05544717674670012,0.7409233280590602,0.9875916583197457
29,0.053147945553064346,0.7490945713860648,0.9877696207591465
30,0.051757622672163925,0.7470310160091945,0.9881143399647304
31,0.050370901013198105,0.7452042187963214,0.9880843673433576
32,0.04821560612839201,0.755573400429317,0.9883561474936349
33,0.046957773520894676,0.7534886598587036,0.9884096809795925
34,0.04526421605892803,0.7602955188070025,0.9884475980486188
35,0.04389329319414885,0.7605293137686593,0.988698559147971
36,0.04322048665388771,0.7615841797419957,0.9885836499077933
37,0.0416782956732356,0.7521300656454903,0.9887019225529262
38,0.04094551843793496,0.7668238282203674,0.9887156741959708
39,0.038980713681034417,0.7686342937605721,0.9885370646204267
40,0.03833803696476895,0.7702722804886954,0.9889295867511204
41,0.03709438378396242,0.768268517085484,0.9889667119298663
42,0.0362908995669821,0.7688749177115304,0.9891700659479413
43,0.0363620741535788,0.7770404304776873,0.9891664896692548
44,0.034482436902497124,0.7705506086349487,0.9889653154781887
45,0.03334460626153842,0.7688463159969875,0.9887582233973912
46,0.03343213317186936,0.7682542034557888,0.9889549357550484
47,0.032951398307214615,0.7759071077619281,0.98900306224823
48,0.031942924808548843,0.7784286481993539,0.9890545776912144
49,0.030613122103006943,0.7771991661616734,0.9891405190740313
50,0.03077227525089098,0.7792761240686689,0.9893521581377301
51,0.0302738210429316,0.7845320531300136,0.989361584186554
52,0.029159113116886303,0.7778971876416888,0.9893514428819928
53,0.02877430731187696,0.7772197297641209,0.9893241439546857
54,0.02858066996154578,0.7828446115766253,0.9897732479231698
55,0.027554639979549076,0.7924214005470276,0.9896707279341561
56,0.02719775563024956,0.779080297265734,0.989860475063324
57,0.026716519228142242,0.7873537966183254,0.9894770043236869
58,0.026072991849935574,0.7897530623844692,0.9896157809666225
59,0.0262075571100349,0.7860839026314872,0.9896848542349679
60,0.025113126667945282,0.797025876385825,0.9901110019002642
61,0.0247980827546638,0.7964259896959577,0.9902541978018624
62,0.024105940985938778,0.7991705196244376,0.9901640926088605
63,0.02397376590448877,0.7916420016969953,0.9901161875043597
64,0.023596508387962113,0.7903136100087848,0.989973885672433
65,0.023782101176355198,0.8009970102991376,0.9901364701134818
66,0.022553902767274692,0.793534517288208,0.9902922340801784
67,0.021933004341047745,0.7972433907645089,0.9902540530477252
68,0.022673664857511936,0.7965334568704877,0.9902288487979344
69,0.02170575134780096,0.801216355391911,0.9902540956224714
70,0.02151723141255586,0.7990854297365461,0.9903427277292524
71,0.02093577976136104,0.8028932639530727,0.9903224280902317
72,0.021259831345599632,0.8008070502962384,0.9905103530202594
73,0.02056701400357744,0.7983562350273132,0.9902837021010262
74,0.021097569645422955,0.7899722712380546,0.9902310030800956
75,0.023158882785102596,0.8040907893862043,0.9908242651394435
76,0.020780394258706467,0.8030000584466117,0.9910100102424622
77,0.020004118995174118,0.8116102474076408,0.9911032744816372
78,0.019550052026043766,0.8134192143167768,0.9911347287041801
79,0.01928057829323022,0.8145975044795445,0.9911741188594273
80,0.019468522833093353,0.8115077103887286,0.9912155185426984
81,0.018800559291697067,0.8114599330084664,0.9912673320089068
82,0.01823686006600442,0.8121566261563983,0.9912642581122262
83,0.019663060974815617,0.8164359927177429,0.991312997681754
84,0.018629504327216873,0.8124962363924298,0.9912578548703875
85,0.017998743640339893,0.8161740303039551,0.9913701159613473
86,0.018674929464316887,0.8105288318225315,0.9912953972816467
87,0.01758225970780072,0.8112981149128505,0.9910693083490644
88,0.01743268573899632,0.8195804527827671,0.9914962904793876
89,0.017327569749044335,0.8164205040250506,0.9914719462394714
90,0.01695006672778855,0.8134726456233433,0.9912377340453011
91,0.016771136742571125,0.8097939491271973,0.991137683391571
92,0.016937618508287098,0.8237194333757673,0.9915863445826939
93,0.01648037082961072,0.8145356518881661,0.991446214062827
94,0.016832926634537136,0.8188773563929966,0.9914214440754482
95,0.016326353439818257,0.8201884201594761,0.991548844746181
96,0.015721227730745854,0.8185583778790065,0.9916925430297852
97,0.015647221964014614,0.8214304191725594,0.9916965365409851
98,0.01573416764807442,0.8171183126313346,0.9916323678834098
99,0.015737543368469113,0.8185394661767142,0.991428826536451
100,0.015597186172785967,0.8181871601513454,0.9914408496447972
